"","x"
"1","LEY15_T14"
"2","LEY15_T11"
"3","LEY14_T19"
"4","LEY14_T13"
"5","LEY14_T12"
"6","LEY14_T09"
"7","LEY14_T08"
"8","LEY13_T17"
"9","LEY13_T13"
"10","LEY13_T07"
"11","LEY13_T01"
"12","LEY10_T07"
"13","LEY13_T02"
"14","CEB08_T20"
"15","CEB11_T16"
"16","CEB11_T09"
"17","CEB11_T06"
"18","CEB09_T08"
"19","CEB07_T02"
"20","CEB10_T16"
"21","CEB10_T09"
"22","CEB10_T05"
"23","LEY13_T14"
"24","CEB08_T02"
"25","CEB09_T15"
"26","CEB09_T02"
"27","CEB05_T11"
"28","CEB08_T13"
"29","CEB06_T08"
"30","CEB12_T15"
"31","CEB12_T14"
"32","CEB01_T16"
"33","CEB07_T15"
"34","CEB07_T14"
"35","CEB01_T06"
"36","CEB27_T17"
"37","CEB01_T04"
"38","CEB06_T11"
"39","CEB24_T13"
"40","CEB26_T21"
"41","CEB07_T10"
"42","CEB10_T02"
"43","CEB05_T02"
"44","LEY05_T03"
"45","CEB05_T10"
"46","CEB05_T01"
"47","CEB11_T13"
"48","CEB09_T10"
"49","CEB23_T02"
"50","CEB22_T16"
"51","CEB09_T12"
"52","CEB06_T17"
"53","CEB07_T06"
"54","CEB08_T04"
"55","CEB08_T06"
"56","CEB23_T01"
"57","CEB19_T11"
"58","CEB20_T04"
"59","CEB33_T12"
"60","CEB11_T19"
"61","CEB23_T17"
"62","CEB26_T08"
"63","CEB26_T07"
"64","CEB06_T03"
"65","LEY15_T13"
"66","CEB35_T16"
"67","LEY04_T16"
"68","LEY13_T09"
"69","LEY05_T13"
