"","x"
"1","LEY15_T08"
"2","LEY15_T04"
"3","LEY14_T15"
"4","LEY13_T10"
"5","LEY11_T11"
"6","LEY09_T02"
"7","LEY15_T05"
"8","CEB11_T15"
"9","CEB24_T14"
"10","CEB27_T15"
"11","LEY07_T01"
"12","CEB19_T13"
"13","CEB09_T16"
"14","CEB27_T13"
"15","CEB16_T16"
"16","LEY14_T14"
"17","CEB04_T06"
"18","LEY10_T06"
"19","CEB35_T15"
"20","CEB35_T02"
"21","CEB26_T22"
"22","LEY05_T09"
"23","CEB01_T14"
"24","CEB08_T14"
"25","CEB15_T03"
"26","CEB02_T09"
"27","CEB05_T12"
"28","CEB01_T17"
"29","CEB04_T13"
"30","CEB27_T06"
"31","CEB27_T19"
"32","CEB22_T04"
"33","CEB29_T09"
"34","CEB19_T07"
"35","CEB20_T12"
"36","LEY15_T07"
"37","CEB22_T12"
"38","CEB27_T10"
"39","CEB25_T02"
"40","CEB24_T01"
"41","CEB24_T08"
"42","CEB24_T15"
"43","CEB25_T01"
"44","CEB25_T08"
"45","CEB25_T14"
"46","CEB25_T15"
"47","CEB08_T16"
"48","CEB26_T10"
"49","CEB26_T23"
"50","CEB27_T01"
"51","CEB27_T02"
"52","CEB27_T04"
"53","CEB27_T09"
"54","CEB27_T14"
"55","CEB29_T02"
"56","CEB35_T14"
"57","LEY05_T16"
